"자치구별(1)",자치구별(2),선거인수,총투표자,투표율
"서울시",소계,8310021,5758158,69.3
"서울시",종로구,126543,88952,70.3
"서울시",중구,177850,123251,69.3
"서울시",용산구,189644,130456,68.8
"서울시",성동구,180828,125807,69.6
"서울시",광진구,302073,209483,69.3
"서울시",동대문구,306831,211914,69.1
"서울시",중랑구,344611,228984,66.4
"서울시",성북구,374996,259325,69.2
"서울시",강북구,260860,170409,65.3
"서울시",도봉구,275314,192051,69.8
"서울시",노원구,435618,306777,70.4
"서울시",은평구,414837,281715,67.9
"서울시",서대문구,272059,190765,70.1
"서울시",마포구,323277,226599,70.1
"서울시",양천구,371592,264764,71.3
"서울시",강서구,498312,336451,67.5
"서울시",구로구,347358,243813,70.2
"서울시",금천구,207663,135521,65.3
"서울시",영등포구,335457,236179,70.4
"서울시",동작구,339290,244947,72.2
"서울시",관악구,447641,290767,65.0
"서울시",서초구,344639,247600,71.8
"서울시",강남구,469251,321780,68.6
"서울시",송파구,565072,406333,71.9
"서울시",강동구,398405,283515,71.2
