연도,지역,사업체수(개),종사자수(명),매출액(백만원)
2016,전국,675056,1988472,118853262
2016,서울특별시,121169,436112,31135146
2016,부산광역시,48286,145079,7610400
2016,대구광역시,32814,93087,4645180
2016,인천광역시,31988,95017,5988805
2016,광주광역시,18431,55455,2986964
2016,대전광역시,19670,59033,3247637
2016,울산광역시,17156,47688,2736576
2016,세종특별자치시,2644,8154,485379
2016,경기도,137544,430278,27114246
2016,강원도,30121,73507,3670578
2016,충청북도,24546,62203,3435844
2016,충청남도,30933,81385,4835585
2016,전라북도,23892,64402,3378947
2016,전라남도,27304,65708,3358504
2016,경상북도,43390,100639,5190438
2016,경상남도,52819,133041,6885368
2016,제주특별자치도,12349,37684,2147665
2017,전국,691751,2036682,128299793
2017,서울특별시,123138,439907,33053130
2017,부산광역시,49087,147042,8253976
2017,대구광역시,33472,93621,4942685
2017,인천광역시,32989,97720,6476614
2017,광주광역시,19017,57001,3220846
2017,대전광역시,20030,60502,3499942
2017,울산광역시,17565,47982,2888533
2017,세종특별자치시,2964,9137,574433
2017,경기도,141671,447940,29799150
2017,강원도,30953,76245,4066194
2017,충청북도,24945,63744,3734055
2017,충청남도,31851,84638,5133238
2017,전라북도,24484,66089,3591013
2017,전라남도,28158,68399,3635585
2017,경상북도,43873,101967,5617767
2017,경상남도,54215,134429,7322956
2017,제주특별자치도,13339,40319,2489676
2018,전국,709014,2138772,138183129
2018,서울특별시,123726,458054,34877600
2018,부산광역시,50009,152124,8638245
2018,대구광역시,34228,97427,5247959
2018,인천광역시,33677,103872,7102708
2018,광주광역시,19220,58849,3408141
2018,대전광역시,20445,62916,3718604
2018,울산광역시,17944,50001,3013113
2018,세종특별자치시,3361,10771,688633
2018,경기도,146050,477699,32531244
2018,강원도,31742,80358,4623093
2018,충청북도,25906,67841,4221871
2018,충청남도,32932,88420,5643516
2018,전라북도,25209,69163,3835901
2018,전라남도,28864,71511,4428250
2018,경상북도,45281,107186,5984291
2018,경상남도,55959,139074,7608715
2018,제주특별자치도,14461,43506,2611245
2019,전국,727377,2191917,144391991
2019,서울특별시,125740,455096,36606266
2019,부산광역시,51180,154648,9127482
2019,대구광역시,34821,98095,5418743
2019,인천광역시,34927,107197,7389134
2019,광주광역시,19950,62253,3680409
2019,대전광역시,20996,63710,3835661
2019,울산광역시,18408,50647,3067886
2019,세종특별자치시,3757,11948,745398
2019,경기도,151865,493508,34380680
2019,강원도,32276,83700,4772882
2019,충청북도,26577,71200,4372536
2019,충청남도,33552,92583,5823235
2019,전라북도,25792,72146,4020085
2019,전라남도,29481,75073,4072035
2019,경상북도,45949,110396,6711880
2019,경상남도,56735,143771,7667022
2019,제주특별자치도,15371,45946,2700657
2020,전국,804173,1919667,139889581
2020,서울특별시,138826,399613,33060297
2020,부산광역시,55245,130216,8432047
2020,대구광역시,37874,84778,5304132
2020,인천광역시,39286,94694,7192254
2020,광주광역시,21995,52580,3637395
2020,대전광역시,23045,55980,3741256
2020,울산광역시,20093,43177,3013597
2020,세종특별자치시,4346,11128,788087
2020,경기도,171667,436127,34963166
2020,강원도,34776,74337,4697763
2020,충청북도,29453,61575,4367821
2020,충청남도,37021,80769,5743721
2020,전라북도,28592,63138,4053420
2020,전라남도,32153,66700,4168794
2020,경상북도,50114,97478,6215833
2020,경상남도,62134,126029,7799424
2020,제주특별자치도,17553,41348,2710574
2021,전국,800648,1937768,150763234
2021,서울특별시,135182,394405,35173498
2021,부산광역시,54935,133175,8908546
2021,대구광역시,37299,85279,5741483
2021,인천광역시,39116,96060,7763549
2021,광주광역시,21744,52853,3873550
2021,대전광역시,22658,55953,4083621
2021,울산광역시,19533,42597,3111205
2021,세종특별자치시,4486,12124,916471
2021,경기도,172168,445515,37666378
2021,강원도,35139,75300,5080509
2021,충청북도,29194,63024,4846453
2021,충청남도,37172,81903,6395109
2021,전라북도,28629,63716,4400025
2021,전라남도,32669,67186,4498847
2021,경상북도,50244,98346,6852516
2021,경상남도,62518,127464,8420776
2021,제주특별자치도,17962,42868,3030698
2022,전국,795488,2040770,177122646
2022,서울특별시,133073,411997,41351383
2022,부산광역시,54462,142533,10827434
2022,대구광역시,36659,88943,6698340
2022,인천광역시,39474,102869,9226737
2022,광주광역시,21263,55107,4435455
2022,대전광역시,22517,58929,4770252
2022,울산광역시,19271,43875,3609746
2022,세종특별자치시,4704,12927,1058252
2022,경기도,173145,475672,44590760
2022,강원도,35106,78290,6020782
2022,충청북도,29073,66061,5587614
2022,충청남도,37183,87484,7518631
2022,전라북도,28463,67007,5029321
2022,전라남도,32234,69719,5173492
2022,경상북도,49369,102060,7807335
2022,경상남도,61693,132884,9770383
2022,제주특별자치도,17799,44413,3646729
2023,전국,793586,2116987,191741335
2023,서울특별시,132183,431499,45504437
2023,부산광역시,53583,146480,11699967
2023,대구광역시,36925,93358,7386792
2023,인천광역시,39016,106872,9989155
2023,광주광역시,21336,57223,4748232
2023,대전광역시,22531,62913,5292076
2023,울산광역시,18999,45042,3936403
2023,세종특별자치시,4716,13590,1143919
2023,경기도,173748,496541,47628130
2023,강원도,35344,80893,6481680
2023,충청북도,29034,68290,6079296
2023,충청남도,37560,90153,8133668
2023,전라북도,28466,67899,5445737
2023,전라남도,32399,72301,5708022
2023,경상북도,49003,103604,8250722
2023,경상남도,60852,134973,10572059
2023,제주특별자치도,17891,45356,3741040
